Full name,Category,Link,Profile keywords,Full bio,Star rating,Number of reviews,Cameo video price,Cameo chat price,Response times (hours),Tags,FF Full name,FF Profile keywords,FF Celebrity rating,FF Main category rating,"Wikipedia Traffic
(Avg. daily)",Cost Effectiveness METRIC,Cost Effectiveness RANK,Catergory_Actors,Catergory_Artists,Catergory_Athletes,Catergory_Business People,Catergory_Chefs,Catergory_Comedians,Catergory_Models,Catergory_Musicians,Catergory_Personalities,Catergory_Public Figures,Catergory_Writers
Greg Austin,Public Figures,https://www.cameo.com/greg.austin,"Actor - Hunters, Class","Actor, general deviant.",5.0,14,25.0,2.99,29.82,"#Actors, #Comic-Con, #Personalities, #Sci-Fi, #TV",Greg Austin (actor),Public Figure,66233.0,12953,319,0.604,"2,373",0,0,0,0,0,0,0,0,0,1,0
Omar McLeod,Athletes,https://www.cameo.com/_warrior_child_,Olympic Hurdler,"•World indoor champion🏆 •OLYMPIC CHAMPION🏆 •WORLD OUTDOOR CHAMPION🏆 •NR holder(60h,110h,200m indoor) |100m PR 9.9|🇯🇲 ||👻 warriorchild1 ||",5.0,1,25.0,2.99,166.01,"#Athletes, #Olympics",Omar McLeod,Athlete,66233.0,25,42,0.604,"2,373",0,0,1,0,0,0,0,0,0,0,0
Amanda Brown,Musicians,https://www.cameo.com/amandaleahbrown,Singer - NBC's The Voice,Recording Artist “Dirty Water” OUT NOW,5.0,6,25.0,1.99,46.48,"#Musicians, #Reality TV, #Singer/Songwriter, #The Voice",Amanda Brown (singer),Musician,66233.0,7901,52,0.604,"2,373",0,0,0,0,0,0,0,1,0,0,0
Ian Rush,Athletes,https://www.cameo.com/ian_rush9,Former Liverpool FC,🏴󠁧󠁢󠁷󠁬󠁳󠁿 Official account of Ian Rush MBE @LFC Ambassador Instagram: Ian_Rush9 🏆Premier League Champions #liverpoolfc #soccer #liverpool #wales #,4.5,26,185.0,2.99,49.01,"#Athletes, #Soccer",Ian Rush,Football,8960.0,465,915,0.603,"2,377",0,0,1,0,0,0,0,0,0,0,0
Jessy Schram,Actors,https://www.cameo.com/jessyschram,"Actress - Once Upon A Time, Nashville, Hallmark","Hi! My proceeds from your Cameo go towards organizations helping those affected by CV19 & the most recent natural disasters ♥️PS- Your videos are kept private on my page to ya know, keep the privacy.",5.0,22,129.0,2.99,79.42,"#Actors, #Film, #Hallmark, #Models, #Once Upon a Time, #TV",Jessy Schram,Actor,12853.0,4355,941,0.603,"2,378",1,0,0,0,0,0,0,0,0,0,0
Rick Bayless,Chefs,https://www.cameo.com/rickbayless1,Chef,,5.0,31,100.0,9.99,20.75,"#Chefs, #Food, #More, #Reality TV, #TV Hosts",Rick Bayless,Chef,16593.0,48,516,0.603,"2,379",0,0,0,0,1,0,0,0,0,0,0
Matt McAndrew,Musicians,https://www.cameo.com/mattmcandrew,Singer,Singer-Songwriter 2nd place on NBC’s The Voice,5.0,7,30.0,2.99,159.29,"#Musicians, #Reality TV, #Singer/Songwriter, #The Voice",Matt McAndrew,Musician,55338.0,6544,191,0.602,"2,380",0,0,0,0,0,0,0,1,0,0,0
Natasha Hastings,Athletes,https://www.cameo.com/natashahastings,Pro Track and Field Sprinter,"Hey guys! I’m a 2xOlympic Gold Medalist in track & field. I share training tips on YouTube, & give motivational speeches across the country. Book me for that someone special! I ❤️ making people 😊",5.0,6,30.0,2.99,136.89,"#Athletes, #Olympics",Natasha Hastings,Athlete,55338.0,63,79,0.602,"2,380",0,0,1,0,0,0,0,0,0,0,0
Elijah Hood,Athletes,https://www.cameo.com/ehood34,XFL - Los Angeles Wildcats,"XFL - Los Angeles Wildcats, Former Carolina Panther, Oakland Raider, Jacksonville Jaguar",5.0,3,20.0,1.99,97.00,"#Athletes, #Carolina Panthers, #Football",Elijah Hood,NFL,83078.0,2977,32,0.602,"2,382",0,0,1,0,0,0,0,0,0,0,0
Robyn Moore,Actors,https://www.cameo.com/animeamerica,YouTube - Anime America,I host a youtube channel reviewing various Anime from Japan! Its called Anime America! Be sure to subscribe and follow us on Facebook and Twitter.,5.0,2,20.0,2.99,43.59,"#Personalities, #Youtube",Robyn Moore (Australian actress),Actor,83078.0,13957,23,0.602,"2,382",1,0,0,0,0,0,0,0,0,0,0
Andrea Lopez,Public Figures,https://www.cameo.com/andrealopezcomedy,Podcast Host - Hey Frase & Comedian,"Comedian/impressionist Andrea Lopez competed on NBC’S comedy series ‘Bring The Funny’.Request a Celebrity impression of Kourtney K, Sofia Vergara, Paris Hilton, Jennifer Coolidge + more",5.0,14,20.0,4.99,95.43,"#Comedians, #En Español, #More, #Podcast",Andrea López,Public Figure,83078.0,15948,40,0.602,"2,382",0,0,0,0,0,0,0,0,0,1,0
Roxanne Modafferi,Athletes,https://www.cameo.com/roxyfighter,,"Fightergirl at Syndicate MMA, contestant on TUF 18 & 26, The Happy Warrior, English teacher, kids BJJ teacher, writer, 日本語OK",5.0,8,55.0,2.99,38.58,"#Athletes, #Fighters, #UFC",Roxanne Modafferi,Martial,30224.0,414,401,0.602,"2,385",0,0,1,0,0,0,0,0,0,0,0
Orlando Jones,Actors,https://www.cameo.com/theorlandojones,Actor,#Actor #writer #comedian #fangirl #humanrightsactivist #blackexcellence,4.75,16,150.0,0.99,89.42,#Actors,Orlando Jones,Actor,11094.0,3935,915,0.601,"2,386",1,0,0,0,0,0,0,0,0,0,0
Brandon Bolden,Athletes,https://www.cameo.com/bbhulksmash,NFL - New England Patriots,#38 for the New England Patriots. Wife & 2 kids🤞🏾 #HulkSmash #225,5.0,9,40.0,3.99,165.06,"#Athletes, #Football, #New England Patriots",Brandon Bolden,NFL,41606.0,1386,153,0.601,"2,387",0,0,1,0,0,0,0,0,0,0,0
Victoria Konefal,Public Figures,https://www.cameo.com/victoriakonefal,Actress - Days of Our Lives,"I play “Ciara Brady” on Days of Our Lives and was so honored to be nominated for a Daytime Emmy playing her this year! I’m a New Yorker turned LA transplant, I love to travel and I love my fans. Can’t wait to connect on a more personal level here on Cameo!!",5.0,35,40.0,9.99,69.03,"#Actors, #Soap Operas, #TV",Victoria Konefal,Public Figure,41606.0,8140,461,0.601,"2,387",0,0,0,0,0,0,0,0,0,1,0
Andy Kindler,Actors,https://www.cameo.com/andykindler,Comedian - Actor - Everybody Loves Raymond,"Comedian- “Late Show with David Letterman” Actor- “Everybody Loves Raymond”, “Maron”, “Wizards of Waverly Place, ”Voice of “Mort” on Bob’s Burgers. And then some!",5.0,68,35.0,2.99,87.37,"#Actors, #Comedians, #Comedy, #Late Night, #Sitcom, #Stand Up, #TV, #Voice Actors",Andy Kindler,Actor,47558.0,10398,141,0.601,"2,389",1,0,0,0,0,0,0,0,0,0,0
David Kaye,Actors,https://www.cameo.com/kayeman,"Voice Actor - Transformers, Ben 10, Ratchet & Clank","Megatron from Transformers Beastwars and Optimus Prime from Transformers, Animated, Sesshomaru, King Peppy from Dreamworks Trolls and Grandpa Max from Ben 10 and hundreds of others",5.0,33,50.0,4.99,37.68,"#Actors, #Comic-Con, #Personalities, #Marvel, #Video Game Actors, #Voice Actors",David Kaye (voice actor),Actor,33302.0,8349,276,0.601,"2,390",1,0,0,0,0,0,0,0,0,0,0
Greg Valentine,Athletes,https://www.cameo.com/gregvalentine,Retired American Professional Wrestler,As being the bad guy I never got to converse with my fans but now I'm really excited about talking with all my fans,5.0,5,100.0,2.99,38.62,"#Athletes, #Pro Wrestlers",Greg Valentine,Professional,16651.0,308,507,0.601,"2,390",0,0,1,0,0,0,0,0,0,0,0
